id,sentiment
168,Positive
26,Positive
64,Positive
10,Positive
111,Negative
187,Positive
245,Negative
225,Negative
91,Positive
241,Positive
173,Negative
120,Negative
203,Positive
78,Positive
56,Negative
105,Positive
204,Positive
212,Positive
199,Negative
140,Positive
43,Positive
214,Negative
298,Negative
34,Negative
74,Positive
184,Positive
76,Positive
6,Positive
169,Positive
177,Positive
285,Positive
223,Negative
85,Positive
8,Negative
194,Positive
286,Negative
47,Negative
4,Negative
261,Positive
195,Negative
227,Positive
178,Positive
95,Positive
18,Positive
269,Positive
61,Negative
25,Negative
115,Positive
211,Positive
149,Positive
259,Positive
133,Negative
318,Positive
235,Negative
233,Negative
102,Positive
110,Negative
255,Negative
281,Negative
32,Positive
263,Negative
196,Negative
147,Positive
219,Positive
138,Positive
60,Positive
117,Positive
7,Negative
197,Positive
31,Negative
23,Negative
289,Positive
57,Positive
166,Negative
119,Positive
205,Positive
82,Positive
146,Negative
40,Positive
220,Positive
148,Positive
182,Positive
316,Positive
109,Positive
270,Positive
67,Positive
19,Positive
185,Negative
114,Positive
20,Positive
183,Positive
93,Negative
80,Positive
73,Negative
112,Negative
181,Negative
302,Positive
69,Positive
256,Negative
38,Negative
229,Negative
68,Positive
257,Negative
248,Negative
126,Negative
165,Negative
305,Positive
145,Positive
272,Positive
141,Positive
209,Positive
307,Negative
207,Positive
130,Positive
39,Positive
222,Negative
304,Positive
156,Positive
113,Negative
118,Positive
297,Positive
309,Positive
176,Positive
200,Positive
155,Positive
303,Positive
3,Negative
116,Positive
164,Negative
224,Positive
121,Negative
240,Positive
128,Negative
75,Negative
30,Positive
84,Negative
266,Positive
108,Negative
174,Negative
180,Negative
134,Positive
254,Negative
246,Negative
296,Positive
226,Negative
86,Negative
243,Negative
36,Positive
29,Positive
143,Negative
267,Positive
132,Negative
210,Positive
239,Negative
179,Positive
251,Positive
42,Positive
137,Positive
27,Positive
314,Positive
142,Negative
1,Positive
288,Positive
275,Positive
292,Negative
101,Negative
193,Positive
276,Negative
104,Negative
172,Negative
99,Positive
37,Negative
250,Positive
62,Negative
151,Negative
48,Positive
280,Negative
12,Positive
317,Positive
201,Positive
287,Positive
28,Positive
5,Positive
33,Negative
232,Negative
163,Negative
238,Negative
284,Negative
139,Negative
63,Negative
216,Positive
136,Positive
299,Positive
129,Negative
283,Positive
65,Positive
15,Positive
124,Negative
295,Positive
217,Negative
154,Positive
24,Negative
237,Negative
208,Positive
213,Negative
293,Positive
312,Negative
202,Positive
44,Negative
218,Positive
191,Positive
260,Negative
106,Negative
206,Negative
35,Negative
264,Positive
92,Negative
53,Positive
265,Positive
14,Positive
89,Positive
274,Positive
167,Positive
315,Positive
135,Positive
308,Positive
244,Negative
55,Negative
51,Positive
175,Positive
319,Negative
188,Positive
170,Positive
59,Positive
49,Positive
236,Negative
253,Negative
22,Positive
161,Negative
277,Positive
192,Positive
294,Positive
150,Negative
131,Positive
152,Positive
100,Positive
88,Positive
215,Negative
122,Negative
189,Positive
72,Positive
107,Positive
271,Positive
103,Positive
